RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3048.0000	2185.19082110	2035.37209101	2237.41403004	2122.41588462
3047.0000	2202.60818550	1957.03334801	2196.42998873	2138.38181166
3046.0000	2243.15719435	1954.47380722	2207.24537895	2225.62839834
3045.0000	2291.96807449	2074.25889886	2259.94946939	2366.28779557
3044.0000	2321.75749183	2245.81685076	2294.65164520	2480.20238279
3043.0000	2328.73278538	2378.50655929	2300.82951509	2516.59669538
3042.0000	2343.40378616	2452.71224471	2326.90940893	2503.74559613
3041.0000	2407.11212501	2506.24590833	2423.48573828	2495.48506700
3040.0000	2505.06725301	2550.69185106	2581.88718519	2513.38061635
3039.0000	2566.55788744	2553.78423113	2725.57791626	2558.66458738
3038.0000	2572.82651910	2527.03091311	2787.31165477	2626.12921261
3037.0000	2591.33191590	2553.78117410	2777.45206173	2688.66614569
3036.0000	2667.11770745	2683.04174067	2755.22152320	2724.21592995
3035.0000	2766.40919512	2859.72413178	2776.10013132	2758.36942862
3034.0000	2852.58297849	2983.85801763	2872.77660870	2822.57891925
3033.0000	2939.15794127	2999.00051315	3027.68911924	2897.17249027
3032.0000	3048.09038402	2946.06950604	3168.26189355	2960.07337562
3031.0000	3169.82879148	2949.08783759	3241.22233956	3043.39294602
3030.0000	3282.64543953	3086.92892344	3273.96564437	3172.27661044
3029.0000	3382.79208127	3285.61134206	3322.39957002	3303.92009758
3028.0000	3474.77094614	3417.15328119	3396.06989718	3395.72970295
3027.0000	3554.32054446	3468.74092001	3484.45823143	3476.83953178
3026.0000	3635.48515521	3526.10176262	3608.97780021	3588.35731290
3025.0000	3764.37750630	3641.24780073	3778.64821967	3710.77268875
3024.0000	3952.33520451	3798.08343975	3943.00005645	3814.05415101
3023.0000	4129.76917875	3955.60399041	4063.25934521	3921.13057745
3022.0000	4226.03701808	4070.63761680	4175.03130983	4056.51789811
3021.0000	4263.81987356	4130.50906548	4320.83746520	4191.49946370
3020.0000	4327.73967275	4185.69009113	4485.69299595	4306.08096668
3019.0000	4462.69484013	4300.09095692	4632.44127517	4440.25415623
3018.0000	4631.45248255	4474.99156816	4741.93875191	4612.90686113
3017.0000	4767.90385860	4664.00756540	4817.55114800	4762.17537227
3016.0000	4861.89482923	4835.82905011	4884.54591842	4849.06203234
3015.0000	4969.26303818	4992.50877277	4967.19233117	4951.89353292
3014.0000	5131.24478488	5158.99223108	5075.80224785	5166.72348668
3013.0000	5327.84432288	5361.28530261	5234.87646322	5464.58959942
3012.0000	5527.96338749	5582.05503912	5467.29999919	5723.52239687
3011.0000	5730.36778440	5755.76530046	5735.42504539	5868.79588696
3010.0000	5928.49218726	5838.81163993	5963.62678302	5936.91773357
3009.0000	6080.84485432	5859.33726695	6114.00352483	6023.01442256
3008.0000	6150.44102098	5889.32776168	6201.12499857	6177.45563316
3007.0000	6160.18446261	6002.27818731	6271.49049605	6353.28926009
3006.0000	6186.17930734	6233.67140913	6380.03872572	6479.06576412
3005.0000	6288.79269481	6525.67152689	6539.94275310	6562.77135897
3004.0000	6466.16524788	6751.74630213	6709.40638552	6661.82875688
3003.0000	6679.03985563	6864.23570481	6850.99193627	6777.39022086
3002.0000	6885.67344164	6963.08676556	6967.18932827	6865.77788105
3001.0000	7053.12215556	7146.87486515	7081.29037094	6944.38415715
3000.0000	7191.12779475	7368.44371964	7221.21287638	7096.84090193
2999.0000	7361.50406716	7521.09713165	7401.60950558	7355.21121430
2998.0000	7588.19143526	7599.73658861	7611.20297070	7643.73278108
2997.0000	7804.42157651	7692.40253833	7843.66190760	7872.46774837
2996.0000	7963.80168127	7860.90875761	8106.14319504	8043.27721313
2995.0000	8124.44278988	8100.02729712	8367.14286823	8227.78263228
2994.0000	8341.14054968	8386.09703205	8568.51481056	8467.17606535
2993.0000	8573.85148602	8702.07104389	8721.82033960	8727.52169731
2992.0000	8787.10081880	9010.54446902	8907.42522670	8958.58618529
2991.0000	9036.83667808	9259.56915119	9156.61049457	9181.38521276
2990.0000	9373.80931421	9453.33417940	9424.42748474	9472.10293044
2989.0000	9745.43579925	9672.28217436	9687.17904006	9837.04821746
